"";"id";"label"
"1";"cat-1";"Beras"
"2";"1";"Beras Kualitas Bawah I"
"3";"2";"Beras Kualitas Bawah II"
"4";"3";"Beras Kualitas Medium I"
"5";"4";"Beras Kualitas Medium II"
"6";"5";"Beras Kualitas Super I"
"7";"6";"Beras Kualitas Super II"
"8";"cat-2";"Daging Ayam"
"9";"7";"Daging Ayam Ras Segar"
"10";"cat-3";"Daging Sapi"
"11";"8";"Daging Sapi Kualitas 1"
"12";"9";"Daging Sapi Kualitas 2"
"13";"cat-4";"Telur Ayam"
"14";"10";"Telur Ayam Ras Segar"
"15";"cat-5";"Bawang Merah"
"16";"11";"Bawang Merah Ukuran Sedang"
"17";"cat-6";"Bawang Putih"
"18";"12";"Bawang Putih Ukuran Sedang"
"19";"cat-7";"Cabai Merah"
"20";"13";"Cabai Merah Besar"
"21";"14";"Cabai Merah Keriting"
"22";"cat-8";"Cabai Rawit"
"23";"15";"Cabai Rawit Hijau"
"24";"16";"Cabai Rawit Merah"
"25";"cat-9";"Minyak Goreng"
"26";"17";"Minyak Goreng Curah"
"27";"18";"Minyak Goreng Kemasan Bermerk 1"
"28";"19";"Minyak Goreng Kemasan Bermerk 2"
"29";"cat-10";"Gula Pasir"
"30";"20";"Gula Pasir Kualitas Premium"
"31";"21";"Gula Pasir Lokal"
