"";"No.";"Komoditas (Rp)";"tanggal";"harga";"province";"regency"
"1";"I";"Beras";"21/10/2021";11,65;"1";"1"
"2";"I";"Beras";"22/10/2021";11,65;"1";"1"
"3";"I";"Beras";"25/10/2021";11,65;"1";"1"
"4";"I";"Beras";"26/10/2021";11,65;"1";"1"
"5";"I";"Beras";"27/10/2021";11,65;"1";"1"
"6";"I";"Beras";"28/10/2021";11,65;"1";"1"
"7";"1";"Beras Kualitas Bawah I (kg)";"21/10/2021";10,65;"1";"1"
"8";"1";"Beras Kualitas Bawah I (kg)";"22/10/2021";10,65;"1";"1"
"9";"1";"Beras Kualitas Bawah I (kg)";"25/10/2021";10,65;"1";"1"
"10";"1";"Beras Kualitas Bawah I (kg)";"26/10/2021";10,65;"1";"1"
"11";"1";"Beras Kualitas Bawah I (kg)";"27/10/2021";10,65;"1";"1"
"12";"1";"Beras Kualitas Bawah I (kg)";"28/10/2021";10,65;"1";"1"
"13";"2";"Beras Kualitas Bawah II (kg)";"21/10/2021";10,35;"1";"1"
"14";"2";"Beras Kualitas Bawah II (kg)";"22/10/2021";10,35;"1";"1"
"15";"2";"Beras Kualitas Bawah II (kg)";"25/10/2021";10,3;"1";"1"
"16";"2";"Beras Kualitas Bawah II (kg)";"26/10/2021";10,35;"1";"1"
"17";"2";"Beras Kualitas Bawah II (kg)";"27/10/2021";10,3;"1";"1"
"18";"2";"Beras Kualitas Bawah II (kg)";"28/10/2021";10,3;"1";"1"
"19";"3";"Beras Kualitas Medium I (kg)";"21/10/2021";11,7;"1";"1"
"20";"3";"Beras Kualitas Medium I (kg)";"22/10/2021";11,7;"1";"1"
"21";"3";"Beras Kualitas Medium I (kg)";"25/10/2021";11,7;"1";"1"
"22";"3";"Beras Kualitas Medium I (kg)";"26/10/2021";11,7;"1";"1"
"23";"3";"Beras Kualitas Medium I (kg)";"27/10/2021";11,7;"1";"1"
"24";"3";"Beras Kualitas Medium I (kg)";"28/10/2021";11,7;"1";"1"
"25";"4";"Beras Kualitas Medium II (kg)";"21/10/2021";11,45;"1";"1"
"26";"4";"Beras Kualitas Medium II (kg)";"22/10/2021";11,45;"1";"1"
"27";"4";"Beras Kualitas Medium II (kg)";"25/10/2021";11,45;"1";"1"
"28";"4";"Beras Kualitas Medium II (kg)";"26/10/2021";11,45;"1";"1"
"29";"4";"Beras Kualitas Medium II (kg)";"27/10/2021";11,45;"1";"1"
"30";"4";"Beras Kualitas Medium II (kg)";"28/10/2021";11,45;"1";"1"
"31";"5";"Beras Kualitas Super I (kg)";"21/10/2021";12,95;"1";"1"
"32";"5";"Beras Kualitas Super I (kg)";"22/10/2021";12,95;"1";"1"
"33";"5";"Beras Kualitas Super I (kg)";"25/10/2021";12,95;"1";"1"
"34";"5";"Beras Kualitas Super I (kg)";"26/10/2021";13;"1";"1"
"35";"5";"Beras Kualitas Super I (kg)";"27/10/2021";12,95;"1";"1"
"36";"5";"Beras Kualitas Super I (kg)";"28/10/2021";12,95;"1";"1"
"37";"6";"Beras Kualitas Super II (kg)";"21/10/2021";12,55;"1";"1"
