"";"id";"label"
"1";"1";"Aceh"
"2";"2";"Sumatera Utara"
"3";"3";"Sumatera Barat"
"4";"4";"Riau"
"5";"5";"Kepulauan Riau"
"6";"6";"Jambi"
"7";"7";"Bengkulu"
"8";"8";"Sumatera Selatan"
"9";"9";"Kepulauan Bangka Belitung"
"10";"10";"Lampung"
"11";"11";"Banten"
"12";"12";"Jawa Barat"
"13";"13";"DKI Jakarta"
"14";"14";"Jawa Tengah"
"15";"15";"DI Yogyakarta"
"16";"16";"Jawa Timur"
"17";"17";"Bali"
"18";"18";"Nusa Tenggara Barat"
"19";"19";"Nusa Tenggara Timur"
"20";"20";"Kalimantan Barat"
"21";"21";"Kalimantan Selatan"
"22";"22";"Kalimantan Tengah"
"23";"23";"Kalimantan Timur"
"24";"24";"Kalimantan Utara"
"25";"25";"Gorontalo"
"26";"26";"Sulawesi Selatan"
"27";"27";"Sulawesi Tenggara"
"28";"28";"Sulawesi Tengah"
"29";"29";"Sulawesi Utara"
"30";"30";"Sulawesi Barat"
"31";"31";"Maluku"
"32";"32";"Maluku Utara"
"33";"33";"Papua"
"34";"34";"Papua Barat"
