"";"province";"id";"label"
"1";"1";"1";"Kota Banda Aceh"
"2";"1";"2";"Kota Lhokseumawe"
"3";"1";"3";"Kota Meulaboh"
"4";"1";"2595";"Kab. Aceh Besar"
"5";"1";"2596";"Kab. Pidie"
"6";"2";"3644";"Kota Gunung Sitoli"
"7";"2";"4";"Kota Medan"
"8";"2";"7";"Kota Padang Sidempuan"
"9";"2";"6";"Kota Pematang Siantar"
"10";"2";"5";"Kota Sibolga"
"11";"3";"9";"Kota Bukittinggi"
"12";"3";"8";"Kota Padang"
"13";"4";"11";"Kota Dumai"
"14";"4";"10";"Kota Pekanbaru"
"15";"4";"12";"Kota Tembilahan"
"16";"4";"1510";"Kab. Bengkalis"
"17";"4";"1509";"Kab. Kampar"
"18";"4";"1511";"Kab. Rokan Hulu"
"19";"4";"1508";"Kab. Siak"
"20";"5";"13";"Kota Batam"
"21";"5";"14";"Kota Tanjung Pinang"
"22";"6";"15";"Kota Jambi"
"23";"6";"16";"Kab. Bungo"
"24";"7";"17";"Kota Bengkulu"
"25";"8";"19";"Kota Lubuk Linggau"
"26";"8";"18";"Kota Palembang"
"27";"8";"2876";"Kab. Banyuasin"
"28";"8";"2878";"Kab. Musi Rawas"
"29";"8";"2880";"Kab. Ogan Ilir"
"30";"8";"2879";"Kab. Ogan Komering Ilir"
"31";"8";"2877";"Kab. Ogan Komering Ulu Timur"
"32";"9";"20";"Kota Pangkal Pinang"
"33";"9";"21";"Kota Tanjung Pandan"
"34";"10";"22";"Kota Bandar Lampung"
"35";"10";"23";"Kota Metro"
"36";"11";"25";"Kota Cilegon"
"37";"11";"24";"Kota Serang"
"38";"11";"26";"Kota Tangerang"
"39";"11";"1618";"Kab. Pandeglang"
"40";"11";"1619";"Kab. Serang"
"41";"12";"29";"Kota Tasikmalaya"
"42";"12";"33";"Kota Sukabumi"
"43";"12";"32";"Kota Depok"
"44";"12";"28";"Kota Cirebon"
"45";"12";"31";"Kota Bogor"
"46";"12";"30";"Kota Bekasi"
"47";"12";"27";"Kota Bandung"
"48";"12";"34";"Kab. Tasikmalaya"
"49";"12";"3479";"Kab. Sumedang"
"50";"12";"3480";"Kab. Subang"
"51";"12";"2069";"Kab. Karawang"
"52";"12";"2071";"Kab. Garut"
"53";"12";"93";"Kab. Cirebon"
"54";"12";"2070";"Kab. Cianjur"
"55";"13";"35";"Kota Jakarta Pusat"
"56";"14";"38";"Kota Tegal"
"57";"14";"37";"Kota Surakarta (Solo)"
"58";"14";"3478";"Kota Surakarta"
"59";"14";"36";"Kota Semarang"
"60";"14";"3475";"Kota Magelang"
"61";"14";"2881";"Kab. Semarang"
"62";"14";"1314";"Kab. Sragen"
"63";"14";"557";"Kab. Sukoharjo"
"64";"14";"3174";"Kab. Wonogiri"
"65";"14";"3477";"Kab. Rembang"
